circuitId,circuitRef,name,location,country,url
,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,http://en.wikipedia.org/wiki/Sepang_International_Circuit
,bahrain,Bahrain International Circuit,Sakhir,Bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
,istanbul,Istanbul Park,Istanbul,Turkey,http://en.wikipedia.org/wiki/Istanbul_Park
,monaco,Circuit de Monaco,Monte-Carlo,Monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco
,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
,silverstone,Silverstone Circuit,Silverstone,UK,http://en.wikipedia.org/wiki/Silverstone_Circuit
,hockenheimring,Hockenheimring,Hockenheim,Germany,http://en.wikipedia.org/wiki/Hockenheimring
,hungaroring,Hungaroring,Budapest,Hungary,http://en.wikipedia.org/wiki/Hungaroring
,valencia,Valencia Street Circuit,Valencia,Spain,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
,spa,Circuit de Spa-Francorchamps,Spa,Belgium,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
,monza,Autodromo Nazionale di Monza,Monza,Italy,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
,fuji,Fuji Speedway,Oyama,Japan,http://en.wikipedia.org/wiki/Fuji_Speedway
,shanghai,Shanghai International Circuit,Shanghai,China,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
,nurburgring,Nürburgring,Nürburg,Germany,http://en.wikipedia.org/wiki/N%C3%BCrburgring
,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
,suzuka,Suzuka Circuit,Suzuka,Japan,http://en.wikipedia.org/wiki/Suzuka_Circuit
,vegas,Las Vegas Strip Street Circuit,Las Vegas,United States,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit
,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
