StopsID,raceId,driverId,lap,Time_stops,duration,Milliseconds
1,841,153,1,17:05:23,26.898,26898
1,841,30,1,17:05:52,25.021,25021
1,841,17,11,17:20:48,23.426,23426
1,841,4,12,17:22:34,23.251,23251
1,841,13,13,17:24:10,23.842,23842
1,841,22,13,17:24:29,23.643,23643
1,841,20,14,17:25:17,22.603,22603
1,841,814,14,17:26:03,24.863,24863
1,841,816,14,17:26:50,25.259,25259
1,841,67,15,17:27:34,25.342,25342
1,841,2,15,17:27:41,22.994,22994
1,841,1,16,17:28:24,23.227,23227
1,841,808,16,17:28:39,24.535,24535
1,841,3,16,17:29:00,23.716,23716
1,841,155,16,17:29:06,24.064,24064
1,841,16,16,17:29:08,25.978,25978
1,841,15,16,17:29:49,24.899,24899
1,841,18,17,17:30:24,16.867,16867
2,841,153,17,17:31:06,24.463,24463
1,841,5,17,17:31:11,24.865,24865
2,841,30,17,17:32:08,23.988,23988
1,841,10,18,17:33:02,23.792,23792
2,841,18,19,17:33:53,23.303,23303
1,841,815,23,17:40:27,23.438,23438
2,841,22,23,17:40:45,37.856,37856
2,841,17,26,17:44:29,22.52,22520
2,841,4,27,17:46:04,24.733,24733
3,841,22,28,17:49:07,16.892,16892
2,841,67,29,17:49:47,23.1,23100
2,841,2,30,17:51:32,25.098,25098
2,841,13,31,17:52:28,24.5,24500
2,841,155,32,17:54:21,24.192,24192
2,841,20,36,17:59:17,24.036,24036
2,841,1,36,17:59:29,23.199,23199
3,841,153,35,17:59:45,26.348,26348
2,841,808,36,17:59:47,25.683,25683
2,841,814,36,18:00:48,24.332,24332
3,841,18,37,18:01:49,22.681,22681
2,841,16,37,18:02:15,23.871,23871
2,841,15,37,18:03:55,24.848,24848
2,841,816,38,18:06:53,26.446,26446
3,841,17,41,18:07:37,26.23,26230
4,841,22,40,18:08:03,26.309,26309
3,841,4,42,18:09:08,24.181,24181
3,841,13,48,18:18:54,24.095,24095
1,842,16,3,16:09:07,31.694,31694
1,842,22,3,16:10:04,32.978,32978
1,842,17,10,16:21:21,22.572,22572
1,842,814,11,16:23:16,22.773,22773
1,842,1,12,16:24:40,22.552,22552
1,842,20,13,16:26:17,23.019,23019
1,842,2,13,16:26:28,23.9,23900
1,842,18,13,16:26:29,22.4,22400
1,842,13,13,16:26:30,29.224,29224
1,842,15,13,16:27:03,25.516,25516
1,842,4,14,16:28:15,23.152,23152
1,842,30,14,16:28:34,22.576,22576
1,842,808,15,16:30:10,23.182,23182
1,842,67,15,16:30:23,23.28,23280
1,842,3,15,16:30:37,24.967,24967
1,842,5,15,16:30:37,29.084,29084
1,842,153,16,16:32:25,23.584,23584
2,842,16,16,16:32:31,22.046,22046
1,842,155,17,16:33:53,23.28,23280
1,842,815,17,16:34:14,23.597,23597
1,842,10,17,16:34:28,24.617,24617
1,842,816,17,16:34:39,26.252,26252
1,842,24,17,16:34:56,27.815,27815
2,842,22,17,16:35:41,24.502,24502
2,842,67,20,16:39:30,29.843,29843
2,842,17,22,16:42:37,21.991,21991
2,842,18,23,16:44:11,22.471,22471
2,842,1,24,16:45:48,22.611,22611
2,842,814,24,16:46:20,22.419,22419
2,842,20,25,16:47:27,21.893,21893
2,842,4,26,16:49:19,23.894,23894
2,842,2,26,16:49:31,23.221,23221
2,842,13,27,16:51:17,22.541,22541
2,842,808,27,16:51:25,22.68,22680
2,842,30,28,16:53:26,22.261,22261
