resultId,raceId,driverId,constructorId,number,Grid,position,positionText,positionOrder,time_results ,milliseconds,fastestLap,rank_results,statusId,points,laps
1,18,1,1,22,1,1,1,1,34:50.6,5690616,39,2,1,10,58
2,18,2,2,3,5,2,2,2,5.478,5696094,41,3,1,8,58
3,18,3,3,7,7,3,3,3,8.163,5698779,41,5,1,6,58
4,18,4,4,5,11,4,4,4,17.181,5707797,58,7,1,5,58
5,18,5,1,23,3,5,5,5,18.014,5708630,43,1,1,4,58
6,18,6,3,8,13,6,6,6,\N,\N,50,14,11,3,57
7,18,7,5,14,17,7,7,7,\N,\N,22,12,5,2,55
8,18,8,6,1,15,8,8,8,\N,\N,20,4,5,1,53
9,18,9,2,4,2,,R,9,\N,\N,15,9,4,0,47
10,18,10,7,12,18,,R,10,\N,\N,23,13,3,0,43
11,18,11,8,18,19,,R,11,\N,\N,24,15,7,0,32
12,18,12,4,6,20,,R,12,\N,\N,20,16,8,0,30
13,18,13,6,2,4,,R,13,\N,\N,23,6,5,0,29
14,18,14,9,9,8,,R,14,\N,\N,21,11,4,0,25
15,18,15,7,11,6,,R,15,\N,\N,18,10,10,0,19
16,18,16,10,20,22,,R,16,\N,\N,8,17,9,0,8
17,18,17,9,10,14,,R,17,\N,\N,\N,\N,4,0,0
18,18,18,11,16,12,,R,18,\N,\N,\N,\N,4,0,0
19,18,19,8,19,21,,R,19,\N,\N,\N,\N,4,0,0
20,18,20,5,15,9,,R,20,\N,\N,\N,\N,4,0,0
21,18,21,10,21,16,,R,21,\N,\N,\N,\N,4,0,0
22,18,22,11,17,10,,D,22,\N,\N,44,8,2,0,58
23,19,8,6,1,2,1,1,1,31:18.6,5478555,37,2,1,10,56
24,19,9,2,4,4,2,2,2,19.57,5498125,39,6,1,8,56
25,19,5,1,23,8,3,3,3,38.45,5517005,19,7,1,6,56
26,19,15,7,11,3,4,4,4,45.832,5524387,53,8,1,5,56
27,19,1,1,22,9,5,5,5,46.548,5525103,53,3,1,4,56
28,19,2,2,3,5,6,6,6,49.833,5528388,55,1,1,3,56
29,19,17,9,10,6,7,7,7,+1:08.130,5546685,53,12,1,2,56
30,19,4,4,5,7,8,8,8,+1:10.041,5548596,40,10,1,1,56
31,19,14,9,9,12,9,9,9,+1:16.220,5554775,55,9,1,0,56
32,19,18,11,16,11,10,10,10,+1:26.214,5564769,56,4,1,0,56
33,19,12,4,6,13,11,11,11,+1:32.202,5570757,52,15,1,0,56
34,19,21,10,21,17,12,12,12,\N,\N,52,16,11,0,55
35,19,22,11,17,14,13,13,13,\N,\N,55,11,11,0,55
36,19,3,3,7,16,14,14,14,\N,\N,55,13,11,0,55
37,19,19,8,19,21,15,15,15,\N,\N,55,18,11,0,55
38,19,11,8,18,19,16,16,16,\N,\N,53,19,12,0,54
39,19,6,3,8,22,17,17,17,\N,\N,19,17,12,0,54
40,19,20,5,15,15,,R,18,\N,\N,37,14,5,0,39
41,19,13,6,2,1,,R,19,\N,\N,15,5,20,0,30
42,19,16,10,20,20,,R,20,\N,\N,3,20,9,0,5
43,19,10,7,12,10,,R,21,\N,\N,\N,\N,4,0,1
44,19,7,5,14,18,,R,22,\N,\N,\N,\N,20,0,0
45,20,13,6,2,2,1,1,1,31:07.0,5466970,38,3,1,10,57
46,20,8,6,1,4,2,2,2,3.339,5470309,35,4,1,8,57
47,20,9,2,4,1,3,3,3,4.998,5471968,55,5,1,6,57
48,20,2,2,3,6,4,4,4,8.409,5475379,48,2,1,5,57
49,20,5,1,23,5,5,5,5,26.789,5493759,49,1,1,4,57
50,20,15,7,11,7,6,6,6,41.314,5508284,45,7,1,3,57
51,20,17,9,10,11,7,7,7,45.473,5512443,51,8,1,2,57
52,20,3,3,7,8,8,8,8,55.889,5522859,57,6,1,1,57
53,20,10,7,12,13,9,9,9,+1:09.500,5536470,56,9,1,0,57
54,20,4,4,5,10,10,10,10,+1:17.181,5544151,35,13,1,0,57
55,20,22,11,17,12,11,11,11,+1:17.862,5544832,40,10,1,0,57
56,20,21,10,21,18,12,12,12,\N,\N,56,11,11,0,56
57,20,1,1,22,3,13,13,13,\N,\N,25,19,11,0,56
58,20,6,3,8,16,14,14,14,\N,\N,30,17,11,0,56
59,20,7,5,14,15,15,15,15,\N,\N,33,15,11,0,56
60,20,19,8,19,21,16,16,16,\N,\N,45,14,11,0,56
61,20,11,8,18,22,17,17,17,\N,\N,56,20,11,0,56
62,20,14,9,9,17,18,18,18,\N,\N,43,16,11,0,56
63,20,16,10,20,20,19,19,19,\N,\N,55,18,12,0,56
64,20,12,4,6,14,,R,20,\N,\N,31,12,6,0,40
65,20,18,11,16,9,,R,21,\N,\N,11,21,4,0,19
66,20,20,5,15,19,,R,22,\N,\N,\N,\N,5,0,0
67,21,8,6,1,1,1,1,1,38:19.1,5899051,46,1,1,10,66
68,21,13,6,2,3,2,2,2,3.228,5902279,45,2,1,8,66
69,21,1,1,22,5,3,3,3,4.187,5903238,20,3,1,6,66
70,21,9,2,4,4,4,4,4,5.694,5904745,20,4,1,5,66
71,21,17,9,10,7,5,5,5,35.938,5934989,19,8,1,4,66
72,21,18,11,16,13,6,6,6,53.01,5952061,66,5,1,3,66
73,21,6,3,8,12,7,7,7,58.244,5957295,48,15,1,2,66
74,21,15,7,11,8,8,8,8,59.435,5958486,45,10,1,1,66
75,21,2,2,3,9,9,9,9,+1:03.073,5962124,21,7,1,0,66
76,21,21,10,21,19,10,10,10,\N,\N,40,14,11,0,65
77,21,10,7,12,14,11,11,11,\N,\N,57,12,11,0,65
78,21,14,9,9,17,12,12,12,\N,\N,57,11,11,0,65
79,21,11,8,18,22,13,13,13,\N,\N,34,17,11,0,65
80,21,3,3,7,15,,R,14,\N,\N,20,13,5,0,41
81,21,4,4,5,2,,R,15,\N,\N,15,9,5,0,34
82,21,22,11,17,11,,R,16,\N,\N,21,16,4,0,34
83,21,5,1,23,6,,R,17,\N,\N,19,6,3,0,21
84,21,19,8,19,21,,R,18,\N,\N,6,20,21,0,8
85,21,7,5,14,16,,R,19,\N,\N,6,19,4,0,7
86,21,12,4,6,10,,R,20,\N,\N,6,18,4,0,6
87,21,16,10,20,20,,R,21,\N,\N,\N,\N,4,0,0
88,21,20,5,15,18,,R,22,\N,\N,\N,\N,4,0,0
89,22,13,6,2,1,1,1,1,26:49.5,5209451,16,3,1,10,58
90,22,1,1,22,3,2,2,2,3.779,5213230,31,2,1,8,58
91,22,8,6,1,4,3,3,3,4.271,5213722,20,1,1,6,58
92,22,9,2,4,5,4,4,4,21.945,5231396,17,4,1,5,58
93,22,2,2,3,9,5,5,5,38.741,5248192,20,5,1,4,58
94,22,4,4,5,7,6,6,6,53.724,5263175,57,6,1,3,58
95,22,17,9,10,6,7,7,7,+1:04.229,5273680,14,7,1,2,58
96,22,3,3,7,11,8,8,8,+1:11.406,5280857,55,9,1,1,58
97,22,14,9,9,10,9,9,9,+1:15.270,5284721,41,12,1,0,58
98,22,15,7,11,8,10,10,10,+1:16.344,5285795,52,11,1,0,58
99,22,18,11,16,13,11,11,11,\N,\N,57,13,11,0,57
100,22,5,1,23,2,12,12,12,\N,\N,55,8,11,0,57
101,22,10,7,12,15,13,13,13,\N,\N,28,16,11,0,57
102,22,22,11,17,12,14,14,14,\N,\N,56,14,11,0,57
103,22,12,4,6,17,15,15,15,\N,\N,40,10,11,0,57
104,22,16,10,20,19,16,16,16,\N,\N,35,18,11,0,57
105,22,20,5,15,14,17,17,17,\N,\N,38,15,11,0,57
106,22,7,5,14,18,,R,18,\N,\N,19,17,22,0,24
107,22,6,3,8,16,,R,19,\N,\N,\N,\N,4,0,1
108,22,21,10,21,20,,R,20,\N,\N,\N,\N,4,0,0
109,23,1,1,22,3,1,1,1,00:42.7,7242742,71,6,1,10,76
110,23,9,2,4,5,2,2,2,3.064,7245806,75,5,1,8,76
111,23,13,6,2,1,3,3,3,4.811,7247553,76,4,1,6,76
112,23,17,9,10,9,4,4,4,19.295,7262037,74,8,1,5,76
113,23,20,5,15,19,5,5,5,24.657,7267399,74,7,1,4,76
114,23,22,11,17,14,6,6,6,28.408,7271150,75,9,1,3,76
115,23,6,3,8,13,7,7,7,30.18,7272922,75,13,1,2,76
116,23,5,1,23,4,8,8,8,33.191,7275933,74,2,1,1,76
117,23,8,6,1,2,9,9,9,33.792,7276534,74,1,1,0,76
118,23,4,4,5,7,10,10,10,\N,\N,73,3,11,0,75
119,23,18,11,16,11,11,11,11,\N,\N,74,10,11,0,75
120,23,10,7,12,10,12,12,12,\N,\N,75,11,11,0,75
121,23,15,7,11,8,13,13,13,\N,\N,75,12,11,0,75
122,23,2,2,3,12,14,14,14,\N,\N,72,14,14,0,72
123,23,16,10,20,18,,R,15,\N,\N,60,16,4,0,67
124,23,3,3,7,6,,R,16,\N,\N,58,15,3,0,59
125,23,12,4,6,17,,R,17,\N,\N,40,17,3,0,47
126,23,21,10,21,20,,R,18,\N,\N,33,18,6,0,36
127,23,14,9,9,15,,R,19,\N,\N,7,20,3,0,7
128,23,7,5,14,16,,R,20,\N,\N,7,19,4,0,7
129,24,9,2,4,2,1,1,1,36:24.2,5784227,47,4,1,10,70
130,24,2,2,3,8,2,2,2,16.495,5800722,25,2,1,8,70
131,24,14,9,9,13,3,3,3,23.352,5807579,36,7,1,6,70
132,24,10,7,12,11,4,4,4,42.627,5826854,31,17,1,5,70
133,24,13,6,2,6,5,5,5,43.934,5828161,11,6,1,4,70
134,24,15,7,11,14,6,6,6,47.775,5832002,38,15,1,3,70
135,24,22,11,17,9,7,7,7,53.597,5837824,35,10,1,2,70
136,24,20,5,15,19,8,8,8,54.12,5838347,33,12,1,1,70
137,24,5,1,23,7,9,9,9,54.433,5838660,62,11,1,0,70
138,24,3,3,7,5,10,10,10,54.749,5838976,14,5,1,0,70
139,24,18,11,16,20,11,11,11,+1:07.540,5851767,58,19,1,0,70
140,24,17,9,10,10,12,12,12,+1:11.299,5855526,51,8,1,0,70
141,24,7,5,14,18,13,13,13,\N,\N,34,13,11,0,69
142,24,21,10,21,17,,R,14,\N,\N,41,16,20,0,51
143,24,6,3,8,12,,R,15,\N,\N,30,14,3,0,46
144,24,4,4,5,4,,R,16,\N,\N,16,9,20,0,44
145,24,12,4,6,15,,R,17,\N,\N,16,18,23,0,43
146,24,8,6,1,3,,R,18,\N,\N,14,1,4,0,19
147,24,1,1,22,1,,R,19,\N,\N,4,3,4,0,19
148,24,16,10,20,16,,R,20,\N,\N,7,20,6,0,13
149,25,13,6,2,2,1,1,1,31:50.2,5510245,20,2,1,10,70
150,25,8,6,1,1,2,2,2,17.984,5528229,16,1,1,8,70
151,25,15,7,11,4,3,3,3,28.25,5538495,12,7,1,6,70
152,25,5,1,23,10,4,4,4,28.929,5539174,46,3,1,5,70
153,25,9,2,4,5,5,5,5,30.512,5540757,16,4,1,4,70
154,25,17,9,10,6,6,6,6,40.304,5550549,22,6,1,3,70
155,25,12,4,6,9,7,7,7,41.033,5551278,24,10,1,2,70
156,25,4,4,5,3,8,8,8,43.372,5553617,39,8,1,1,70
157,25,14,9,9,7,9,9,9,51.021,5561266,23,12,1,0,70
158,25,1,1,22,13,10,10,10,54.538,5564783,40,5,1,0,70
159,25,10,7,12,8,11,11,11,57.7,5567945,45,13,1,0,70
160,25,20,5,15,12,12,12,12,58.065,5568310,36,11,1,0,70
161,25,2,2,3,11,13,13,13,+1:02.079,5572324,46,9,1,0,70
162,25,22,11,17,20,14,14,14,\N,\N,54,14,11,0,69
163,25,6,3,8,15,15,15,15,\N,\N,60,15,11,0,69
164,25,3,3,7,19,16,16,16,\N,\N,38,17,11,0,69
165,25,7,5,14,14,17,17,17,\N,\N,28,16,11,0,69
166,25,21,10,21,17,18,18,18,\N,\N,53,19,11,0,69
167,25,16,10,20,18,19,19,19,\N,\N,41,18,11,0,69
168,25,18,11,16,16,,R,20,\N,\N,15,20,4,0,16
169,26,1,1,22,4,1,1,1,39:09.4,5949440,16,3,1,10,60
170,26,2,2,3,5,2,2,2,+1:08.577,6018017,21,2,1,8,60
171,26,22,11,17,16,3,3,3,+1:22.273,6031713,21,11,1,6,60
172,26,8,6,1,3,4,4,4,\N,\N,18,1,11,5,59
173,26,5,1,23,1,5,5,5,\N,\N,17,5,11,4,59
174,26,4,4,5,6,6,6,6,\N,\N,17,6,11,3,59
175,26,15,7,11,14,7,7,7,\N,\N,22,13,11,2,59
176,26,6,3,8,15,8,8,8,\N,\N,21,14,11,1,59
177,26,3,3,7,20,9,9,9,\N,\N,21,16,11,0,59
178,26,17,9,10,2,10,10,10,\N,\N,17,4,11,0,59
179,26,7,5,14,13,11,11,11,\N,\N,21,9,11,0,59
180,26,10,7,12,12,12,12,12,\N,\N,19,15,11,0,59
181,26,13,6,2,9,13,13,13,\N,\N,19,8,12,0,58
182,26,9,2,4,10,,R,14,\N,\N,22,12,20,0,39
183,26,18,11,16,17,,R,15,\N,\N,21,10,20,0,38
184,26,12,4,6,7,,R,16,\N,\N,21,7,20,0,35
185,26,21,10,21,19,,R,17,\N,\N,21,17,20,0,16
186,26,16,10,20,18,,R,18,\N,\N,5,18,20,0,10
187,26,20,5,15,8,,R,19,\N,\N,\N,\N,4,0,0
188,26,14,9,9,11,,R,20,\N,\N,\N,\N,4,0,0
